Time 	Sender Mood	Receiver Mood
		
05:58 PM	Irritated	Sleepy
06:07 PM	Irritated	Excited
06:14 PM	Loving	Sleepy
06:17 PM	Busy	Irritated
06:30 PM	Business	Business
06:35 PM	Business	Business
06:40 PM	Friendly	Friendly
06:56 PM	Haste	Business
07:15 PM	Friendly	Friendly
07:45 PM	Loving	Loving
08:25 PM	Loving	Loving
08:45 PM	Intimate	Intimate
09:12 PM	Intimate	Intimate
09:14 PM	Friendly	Friendly
09:27 PM	Loving	Friendly
10:00 PM	Loving	Friendly
10:10 PM	Excited	Loving
10:13 PM	Happy	Loving
10:15 PM	Happy	Loving
10:24 PM	Happy	Loving
10:35 PM	Business	Business
11:10 PM	Friendly	Friendly
11:15 PM	Despair	Loving
11:17 PM	Sad	Loving
11:26 PM	Angry	Loving
11:56 PM	Irritated	Loving
12:20 AM	Tired	Loving
12:40 AM	Tired	Loving
07:02 AM	Sleepy	Loving
07:10 AM	Sleepy	Loving
07:17 AM	Sleepy	Busy
07:46 AM	Friendly	Busy
08:28 AM	Excited	Excited
08:29 AM	Excited	Sleepy
08:32 AM	Excited	Sleepy
09:45 AM	Happy	Sleepy
10:30 AM	Happy	Loving
11:00 AM	Friendly	Friendly
11:10 AM	Friendly	Friendly
11:26 AM	Happy	Friendly
12:53 PM	Whatever	Sleepy
03:07 PM	Whatever	Business
03:56 PM	Busy	Business
07:28 PM	Excited	Loving
07:35 PM	Whatever	Loving
08:00 PM	Happy	Busy
08:11 PM	Happy	Friendly
08:58 PM	Loving	Loving
09:12 PM	Loving	Loving
09:33 PM	Intimate	Intimate
10:14 PM	Loving	Loving
10:30 PM	Loving	Loving
10:33 PM	Excited	Loving
10:36 PM	Happy	Friendly
10:41 PM	Haste	Friendly
11:05 PM	Haste	Friendly
11:07 PM	Haste	Loving
12:02 AM	Haste	Loving
12:06 AM	Happy	Loving
07:06 AM	Whatever	Loving
07:31 AM	Intimate	Loving
08:26 AM	Friendly	Business
08:38 AM	Excited	Business
10:34 AM	Happy	Business
11:10 AM	Happy	Loving
11:14 AM	Excited	Loving
11:17 AM	Excited	Loving
11:33 AM	Loving	Intimate
12:02 PM	Loving	Intimate
12:05 PM	Friendly	Friendly
12:10 PM	Happy	Friendly
12:24 PM	Whatever	Friendly
12:30 PM	Whatever	Friendly
12:36 PM	Whatever	Friendly
12:38 PM	Whatever	Happy
12:41 PM	Whatever	Happy
12:44 PM	Angry	Tired
12:49 PM	Irritated	Tired
01:03 PM	Irritated	Happy
01:13 PM	Tired	Happy
01:17 PM	Tired	Happy
01:18 PM	Tired	Friendly
01:24 PM	Tired	Busy
03:43 PM	Sad	Tired
03:47 PM	Despair	Happy
04:01 PM	Busy	Friendly
05:34 PM	Busy	Friendly
05:36 PM	Busy	Friendly
06:45 PM	Busy	Friendly
07:05 PM	Friendly	Loving
08:36 PM	Friendly	Friendly
08:38 PM	Friendly	Friendly
08:52 PM	Excited	Loving
10:20 PM	Whatever	Loving
10:31 PM	Busy	Happy
11:13 PM	Busy	Excited
11:25 PM	Busy	Excited
11:47 PM	Whatever	Happy
11:49 PM	Whatever	Happy
07:56 AM	Friendly	Loving
09:30 AM	Busy	Loving
10:34 AM	Busy	Friendly
10:45 AM	Business	Business
10:48 AM	Business	Business
10:52 AM	Business	Business
11:00 AM	Business	Business
11:10 AM	Busy	Business
11:12 AM	Busy	Busy
11:19 AM	Whatever	Friendly
11:42 AM	Whatever	Friendly
11:57 AM	Whatever	Friendly
12:00 PM	Whatever	Friendly
12:00 PM	Friendly	Friendly
12:02 PM	Friendly	Friendly
12:06 PM	Friendly	Friendly
12:07 PM	Friendly	Friendly
12:09 PM	Happy	Friendly
12:11 PM	Haste	Friendly
12:34 PM	Haste	Business
12:44 PM	Haste	Business
01:11 PM	Busy	Friendly
01:19 PM	Busy	Friendly
01:24 PM	Tired	Friendly
01:30 PM	Tired	Business
02:34 PM	Angry	Friendly
03:45 PM	Excited	Friendly
04:14 PM	Business	Friendly
05:30 PM	Tired	Friendly
06:26 PM	Loving	Loving
06:45 PM	Loving	Loving
06:56 PM	Loving	Loving
07:00 PM	Intimate	Intimate
