Time 	Sender Mood	Receiver Mood
		
17	1	9
18	1	10
18	14	9
18	5	1
18	4	4
18	4	4
18	11	11
18	6	4
19	11	11
19	14	14
20	14	14
20	13	13
21	13	13
21	11	11
21	14	11
22	14	11
22	10	14
22	12	14
22	12	14
22	12	14
22	4	4
23	11	11
23	2	14
23	3	14
23	0	14
23	1	14
0	8	14
0	8	14
7	9	14
7	9	14
7	9	5
7	11	5
8	10	10
8	10	9
8	10	9
9	12	9
10	12	14
11	11	11
11	11	11
11	12	11
12	7	9
15	7	4
15	5	4
19	10	14
19	7	14
20	12	5
20	12	11
20	14	14
21	14	14
21	13	13
22	14	14
22	14	14
22	10	14
22	12	11
22	6	11
23	6	11
23	6	14
0	6	14
0	12	14
7	7	14
7	13	14
8	11	4
8	10	4
10	12	4
11	12	14
11	10	14
11	10	14
11	14	13
12	14	13
12	11	11
12	12	11
12	7	11
12	7	11
12	7	11
12	7	12
12	7	12
12	0	8
12	1	8
13	1	12
13	8	12
13	8	12
13	8	11
13	8	5
15	3	8
15	2	12
16	5	11
17	5	11
17	5	11
18	5	11
19	11	14
20	11	11
20	11	11
20	10	14
22	7	14
22	5	12
23	5	10
23	5	10
23	7	12
23	7	12
7	11	14
9	5	14
10	5	11
10	4	4
10	4	4
10	4	4
11	4	4
11	5	4
11	5	5
11	7	11
11	7	11
11	7	11
12	7	11
12	11	11
12	11	11
12	11	11
12	11	11
12	12	11
12	6	11
12	6	4
12	6	4
13	5	11
13	5	11
13	8	11
13	8	4
14	0	11
15	10	11
16	4	11
17	8	11
18	14	14
18	14	14
18	14	14
19	13	13
